ticker,name,nav,navUnit,navChange,navChange1w,navChange1m,navChange3m,navChange6m,navChange9m,navChangeYtd,navChange1y
516960,国泰机械ETF,1.2814,人民币,2.19%,-0.70%,3.14%,16.99%,--,--,--,--
516570,易基石化ETF,1.1309,人民币,2.09%,1.95%,7.45%,--,--,--,--,--
516380,华宝智能电车ETF,1.1343,人民币,-0.41%,-3.93%,-2.35%,--,--,--,--,--
159710,建信智能电车,0.9481,人民币,-0.51%,-4.92%,-5.69%,--,--,--,--,--
516590,易基电动汽车ETF,1.3707,人民币,-0.31%,-3.10%,-1.34%,12.57%,--,--,--,--
159720,泰康智能车TK,0.9929,人民币,-0.48%,-4.39%,-2.86%,--,--,--,--,--
512760,国泰芯片ETF,1.5261,人民币,-2.33%,-3.80%,-8.75%,14.14%,16.13%,17.34%,18.54%,18.39%
516220,国泰化工龙头,1.1906,人民币,1.76%,-0.52%,4.11%,11.67%,--,--,--,--
516020,华宝化工ETF,1.1339,人民币,1.85%,-0.50%,4.20%,11.91%,11.71%,--,--,--
516120,富国化工产业,1.1379,人民币,1.83%,-0.54%,4.17%,11.11%,12.12%,--,--,--
159870,鹏华化工产业,1.0911,人民币,1.89%,-0.52%,3.93%,11.26%,10.03%,--,--,--
512480,国联半导体ETF,1.2995,人民币,-2.92%,-5.15%,-12.10%,15.54%,20.37%,14.87%,18.62%,15.35%
159974,富国央企创新,1.3907,人民币,2.29%,2.89%,9.87%,14.73%,16.32%,19.58%,21.26%,26.10%
515600,广发央企创新,1.3045,人民币,2.47%,3.20%,10.13%,14.57%,15.20%,18.74%,19.94%,24.81%
515680,嘉实创新央企,1.3217,人民币,2.40%,3.11%,9.97%,14.22%,14.78%,17.61%,19.56%,23.64%
515900,博时央创ETF,1.3124,人民币,2.38%,3.16%,9.97%,14.17%,14.64%,17.37%,19.32%,23.51%
159962,华夏四川国改ETF,1.9166,人民币,0.61%,0.83%,8.16%,4.90%,9.49%,17.10%,14.32%,21.55%
516970,广发中证基建50,1.1956,人民币,3.42%,6.65%,14.03%,--,--,--,--,--
516320,华夏装备ETF,1.2253,人民币,1.86%,-0.20%,6.03%,18.18%,--,--,--,--
516800,华宝智能制造ETF,1.2305,人民币,-0.79%,-3.80%,-4.86%,16.41%,20.76%,--,--,--
512190,浙商之江凤凰,1.7784,人民币,1.56%,0.12%,5.93%,3.85%,11.06%,11.50%,12.75%,11.56%
516950,银华基建ETF,1.1696,人民币,2.74%,6.63%,14.46%,13.75%,--,--,--,--
516870,银华汽车ETF,1.0522,人民币,0.87%,-0.12%,4.88%,--,--,--,--,--
516110,国泰汽车ETF,1.2799,人民币,0.79%,0.12%,4.77%,15.10%,--,--,--,--
512260,500低波ETF,1.6034,人民币,0.89%,1.95%,5.63%,5.36%,9.75%,8.20%,11.21%,5.73%
512780,京津冀ETF,1.0038,人民币,1.59%,2.57%,8.74%,7.87%,17.32%,12.46%,15.60%,10.54%
515110,易基国企带路ETF,1.346,人民币,1.51%,2.00%,6.94%,6.81%,7.36%,12.59%,13.51%,20.38%
515990,添富国企ETF,1.3825,人民币,1.45%,1.76%,6.44%,5.92%,6.74%,11.50%,12.65%,18.45%
515150,富国带路国企,1.3344,人民币,1.51%,1.93%,6.80%,6.22%,6.61%,11.52%,12.69%,18.65%
159745,国泰建材ETF,1.0376,人民币,0.97%,2.13%,15.00%,--,--,--,--,--
515870,嘉实先进制造100ETF,1.4813,人民币,1.91%,0.25%,7.59%,7.38%,2.48%,8.05%,9.04%,14.01%
159709,工银物联50ETF,1.0017,人民币,-1.40%,-3.39%,-4.90%,--,--,--,--,--
159786,银华VRETF,0.9858,人民币,-0.18%,-1.57%,-1.48%,--,--,--,--,--
516910,富国物流ETF,1.0591,人民币,1.85%,0.56%,8.90%,--,--,--,--,--
515580,华泰中证科技,1.8326,人民币,0.14%,-0.70%,0.34%,3.03%,4.27%,10.26%,5.90%,7.68%
510160,中证南方指数,0.7689,人民币,2.63%,7.74%,16.43%,10.42%,7.23%,10.50%,15.33%,20.80%
512710,富国军工龙头,0.9639,人民币,-0.55%,-3.65%,7.86%,18.11%,13.14%,23.16%,6.63%,24.67%
159815,招商浙江100ETF,1.1749,人民币,0.74%,-1.75%,0.92%,-0.50%,1.08%,10.07%,6.29%,12.14%
512670,鹏华中证国防ETF,1.1019,人民币,-0.24%,-3.31%,9.96%,19.69%,14.22%,22.33%,6.00%,24.53%
